job_title,company,location,salary_min,salary_max,match_score,matching_skills,posting_date,application_url
Technical Enablement Lead,Recro,"Bangalore, Karnataka",,,100.0,1,2026-06-25T00:51:12Z,https://www.adzuna.in/land/ad/5775137412?se=znjNFIGF8RG974pouqc-_w&utm_medium=api&utm_source=aacca97d&v=8CAAC0604BB0E47FB1D97EF2C5BDDFC71DE38D67
Design Verification Engineer,ACL Digital,"Bangalore, Karnataka",,,100.0,1,2025-07-07T09:13:56Z,https://www.adzuna.in/land/ad/5289685313?se=znjNFIGF8RG974pouqc-_w&utm_medium=api&utm_source=aacca97d&v=CD8E4A82DBF6CA0BE7FD48F4035CB92219A46DD4
Agent Engineer,Tata Consultancy Services,"Bangalore, Karnataka",,,0.0,0,2026-06-05T17:20:15Z,https://www.adzuna.in/land/ad/5753192857?se=znjNFIGF8RG974pouqc-_w&utm_medium=api&utm_source=aacca97d&v=34146D4EBDA58CDD2469D33B4415EF66930B5953
Assistant Professor,"Birla Institute of Technology and Science, Pilani","Bangalore, Karnataka",,,0.0,0,2026-07-07T18:21:51Z,https://www.adzuna.in/land/ad/5790968503?se=znjNFIGF8RG974pouqc-_w&utm_medium=api&utm_source=aacca97d&v=A7ACB0EDE8AB7E2E1E4844AF14313498DD2E0267
Project Manager,LTM,"Bangalore, Karnataka",,,100.0,1,2026-06-26T14:56:24Z,https://www.adzuna.in/land/ad/5777484281?se=znjNFIGF8RG974pouqc-_w&utm_medium=api&utm_source=aacca97d&v=BA081A9607794D247538E321F02F10D28B21CA69
Associate Technical Architect - HDD,Toshiba Software  Pvt. Ltd.,"Bangalore, Karnataka",,,100.0,1,2026-07-15T22:27:15Z,https://www.adzuna.in/land/ad/5801399707?se=znjNFIGF8RG974pouqc-_w&utm_medium=api&utm_source=aacca97d&v=E1D7A66D49D66894B5E6E001724FB759CB923106
RTL Design Engineer,ACL Digital,"Bangalore, Karnataka",,,0.0,0,2025-10-19T08:53:14Z,https://www.adzuna.in/land/ad/5454796748?se=znjNFIGF8RG974pouqc-_w&utm_medium=api&utm_source=aacca97d&v=7764A68A97260DD22F11D38513B507A4C4CF76B8
Senior RTL Design Engineer,ACL Digital,"Bangalore, Karnataka",,,0.0,0,2025-07-14T06:39:50Z,https://www.adzuna.in/land/ad/5301490162?se=znjNFIGF8RG974pouqc-_w&utm_medium=api&utm_source=aacca97d&v=78C50A2E9BBE969BA3287BD9EAF9671462AC9E07
Subject Matter Expert (Wind Yield & GIS),L&T Technology Services,"Bangalore, Karnataka",,,0.0,0,2026-07-02T01:22:53Z,https://www.adzuna.in/land/ad/5784149629?se=znjNFIGF8RG974pouqc-_w&utm_medium=api&utm_source=aacca97d&v=BBF59C878C7196538A3DE14EB34275B4A1250FA3
Senior Computational Designer,Dar,"Bangalore, Karnataka",,,0.0,0,2026-06-19T15:51:41Z,https://www.adzuna.in/land/ad/5769279491?se=znjNFIGF8RG974pouqc-_w&utm_medium=api&utm_source=aacca97d&v=C62D4FD3E000FB89124ABE7C873FFF3D2CC727AB
Formal Verification Engineer,ACL Digital,"Bangalore, Karnataka",,,0.0,0,2025-07-07T09:14:27Z,https://www.adzuna.in/land/ad/5289686397?se=znjNFIGF8RG974pouqc-_w&utm_medium=api&utm_source=aacca97d&v=7B7139716C6D8063DD7C89DDE299B0714EBFA3F5
